Project Name,Grant Category,Proposal URL,Vote URL,Voted Yes,Voted No
RugPullIndex,Build & Integrate,https://port.oceanprotocol.com/t/rugpullindex-com-proposal-r5/594,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmQvFzquuCRbNesQtuHKJ5Z5JqgCN8WbE8BHjXyquukgm6,1235214,500
Evotegra,Unleash Data,https://port.oceanprotocol.com/t/evotegra-unleash-more-traffic-data-to-the-market/615,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmYfu1RucmhZkTbChuy5KDVV3z4WpDgGyiWeUV69sc4GZz,1135926,0
Ocean Pearl,DAO,https://port.oceanprotocol.com/t/proposal-ocean-pearl-ocean-ecosystem-project-tracker/607,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/Qmd3dYyVUw87uQejG2KDiQoAVwHY6rSgToL3YywdWj8gGq,1025153,0
DataUnion Foundation,Build & Integrate,https://port.oceanprotocol.com/t/proposal-dataunion-app-annotation-feature-v1/619,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmcNpiuPrvk6QWDx344FU7qjZYasM93aBJ6H2QnsafydMm,1014809,500
Resilient ML,Outreach,https://port.oceanprotocol.com/t/proposal-round-5-resilientml-gateway-to-ocean-introductory-intermediate-and-advanced-ai-ml-data-science-courses/605,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmSTxsCdULxkoVM1fwHfu1aArWT1QFcCLCGEiR9pfYa6Lk,1014276,500
Resilient ML,Unleash Data,https://port.oceanprotocol.com/t/proposal-round-5-resilientml-expansion-of-sentiment-data-news-sources-and-features/603,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVe6Bk1dq4r9uAgRyANdFrYhF8d2S7UajqACb3USMBehU,982232,500
deltaDAO,Outreach,https://port.oceanprotocol.com/t/proposal-deltadao-creating-an-ocean-protocol-use-case-and-pitch-deck-library/618,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmR8zuyKNUk1MJtQBeTmCVEkuhBLPt2pgNxj8QgW5xJQ5r,962031,0
Ocean Missions,Outreach,https://port.oceanprotocol.com/t/proposal-go-to-market-analysis/592,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRD6RX87LyLDcJkCh4eqUau95394DRL1eQY9znRPByJrB,922417,1470
Posthuman AI,Build & Integrate,https://port.oceanprotocol.com/t/proposal-posthuman-ai-marketplace-v0-3-rinkeby/621,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmfSLNdwGy2Gd9X6W5QRHtTft2Xigs1YsXMGxTvGFNsEna,667711,500
Project Coral,Outreach,https://port.oceanprotocol.com/t/proposal-project-coral-onboarding-neuroscientists-to-the-data-economy/600,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmSqZmovPa597i2LdFB8eEVqu8LRK9XuQBf49MhhAFdiBQ,666716,500
The Pelican,Outreach,https://port.oceanprotocol.com/t/proposal-the-pelican-the-data-economy-newsletter-edited/595,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmSJkxk3ZCG7VCsqShTemv29dC3owmfq8uM3BsA6yN4y9Y,663153,0
Ocean Vantage,Build & Integrate,https://port.oceanprotocol.com/t/proposal-vantage-data-marketplace-and-analytics-platform-integration/614,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmP6vEBn99yBG84pXbCWFDMSekmfmukL6CGQEFHf1SsrfJ,88773,0
AI Synthetic Data Generation,Unleash Data,https://port.oceanprotocol.com/t/proposal-ai-synthetic-data-generation-sell-sensitive-data-with-zero-privacy-risks/604,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVyPo566SRodxKNSrznrCsMvHrbLn88QwDxpGyM33iH67,73687,500
VideoWiki,Build & Integrate,https://port.oceanprotocol.com/t/proposal-videowiki-2-0-an-updated-collaborative-content-creation-platform/597,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmcibtsLHWuGVWugsaooKRDV8Zx5M1auAFRv1f8YsrSb8L,52023,29998
DeFi Pulse for Datatokens,Build & Integrate,https://port.oceanprotocol.com/t/proposal-defi-pulse-for-datatokens/601,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmTQnbVS9i6fa9b1cV93KEJ9riUTdmyDXPmopC9yrUheZG,43398,0
roto.life ,Build & Integrate,https://port.oceanprotocol.com/t/proposal-roto-life/613,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmYAvijMaoKRXjLAb7PjmR9wykvERXqUmVkcTKML13f3aw,17549,21367
