Project Name,Earmarks,OCEAN Requested,Proposal URL,Vote URL,Voted Yes,Voted No
Ocean Ambassadors,New Entrants,27200,https://port.oceanprotocol.com/t/ocean-ambassadors-grant-proposal-project-flagship/667,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmahjTNJXhu1Sn616SwFJvQ7WSsGb6Y3wudgNMcXjN9ZkQ,2522083,0
DataUnion Foundation,General,27200,https://port.oceanprotocol.com/t/dataunion-app-oceandao-round-6/674,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmeuMAKVMU1eLk7hyEA5WjwuZCaL7ATwbKXpi9Vxp7PGZK,1749186,0
RugPullIndex,General,13000,https://port.oceanprotocol.com/t/rugpullindex-com-proposal-r6/650,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/Qmd1wBQhUUDaMLjniNeeGVz6F4GFfuSxgJ8JZP7cXgPChN,1603354,0
Data Whale,General,15000,https://port.oceanprotocol.com/t/proposal-data-whales-dafi-adoption-sprint/652,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmTMYZhaYPAUMvCMQYHtwMMkvd8n7w7vfmb1a2ywCfAkBn,1205720,0
Evotegra,General,16500,https://port.oceanprotocol.com/t/evotegra-unleash-roadmarkings-to-evo-2mp-trfc-de-200k/656,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRcEbWFJLEoJwsVu688X8uxJGVeYMKV2CF3WezXM9raSM,1043445,0
Project Coral,General,27200,https://port.oceanprotocol.com/t/mission-coral-onboarding-neuroscientists-to-the-data-economy/662/1,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmSfecRUpBysds8v334RkeSevvqb96cJe4Bdeo8e2mV2GT,661756,0
Algovera,New Entrants,27200,https://port.oceanprotocol.com/t/proposal-visiotherapy-building-an-exercise-quality-dataset-using-a-community-of-physiotherapists-at-professional-rugby-and-sports-clubs/651,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmQmJj6U7WJdSuuZbMdWy85bBK3LDPsBp5RiTreXKYoBUz,603918,38030
VideoWiki,General,18000,https://port.oceanprotocol.com/t/proposal-casting-videowiki-a-casting-platform-using-ocean-for-ticketing/658,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/Qmca7fw5EmZD4BC9YCLD1tqTzUEPCo8qxsY39c6ZVSesHZ,451656,0
Posthuman AI,General,27200,https://port.oceanprotocol.com/t/posthuman-ai-market-v1-1-luci-integration/675/1,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmP6wsEBhaUfkZgDFV9q6EKgnypLeE7aQbsQNo3XAjZshy,379969,217978
Ocean Vantage,New Entrants,20000,https://port.oceanprotocol.com/t/proposal-ocean-vantage-signal-syndication-data-network-ssdn/638,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmNx1fEHLu2eKBqMVyQZeuSVnjUhhcbDDGixGoq6jrbVgr,370919,38030
Solipay,New Entrants,27200,https://port.oceanprotocol.com/t/proposal-solipay-unleash-massive-unique-ethically-sourced-consumer-data-to-ocean-market/661,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmUAZYnNDLSwfZqUHjVJ7w5GM49qpeyLzAX4c8KWnhNbqU,170611,0
Alternate Future Summit,New Entrants,24590,https://port.oceanprotocol.com/t/the-alternate-future-summit-internship-hackathon/671,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmRyVSzHTnJ94RmqZUUJV6eTQQtNXM1cfneCezzNpTLrNq,45535,42
Longtail Financial,New Entrants,18000,https://port.oceanprotocol.com/t/proposal-longtail-financial-tokenspice2-github-issue-task-force/655,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmdaiBbsVdUURjC9ijBdoKSCvYhZmX9K8DgmSoYjw2cMTm,29880,38030
Fair Data,New Entrants,20000,https://port.oceanprotocol.com/t/proposal-fair-data/673,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmZbKQFtkuvta2fVXR1LEUmnXwmqyrN76Rrxkmu5oSDxGx,5547,0
