Project Name,Earmarks,OCEAN Requested,Proposal URL,Vote URL,Voted Yes,Voted No
Unbanks.me,New Entrants,32000,https://port.oceanprotocol.com/t/proposal-unbanks-me-sell-your-banking-data/698/5,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmaTW2H5TuTNgCsZYFFEEDyqjCWRAQA5h7b8cwve4RGLX1,3046,109484
Data Whale,General,32000,https://port.oceanprotocol.com/t/proposal-data-whales-r7-development-sprint/702,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmW6oVvXEP7CKEErdhSqbGknVPwsCByESL3aHtFEzjMDdz,1166886,0
DataUnion Foundation,General,32000,https://port.oceanprotocol.com/t/dataunion-oceandao-round-7/694/,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmewLHnF4DG7nxopMsyfxg3foYbqPSoFcSBhCiAVWL3EYT,1040710,470103
DataX,New Entrants,32000,https://port.oceanprotocol.com/t/proposal-datax-dex-built-on-ocean-for-trading-datasets/714,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/Qmaofa7FWkb7QjVkBVksxFohWt9qawi89JHUjj7iHBpPHk,1130084,0
Project Coral,General,32000,https://port.oceanprotocol.com/t/mission-coral-onboarding-neuroscientists-to-the-data-economy/705/2,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmY1Y875sHYG89DMDwzg6H6zJtJyxYnYdmGSLbC41vv7hd,171298,0
Nano Sensor Powered Smart Cities,New Entrants,32000,https://port.oceanprotocol.com/t/nano-sensor-powered-smart-cities-use-case-public-toilets/710/2,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmY1EsTDGcVv2Q2gVPYvkJCxc8XnGY1YFeiXp4371FwqBq,629705,385784
Clean Docs,General,12000,https://port.oceanprotocol.com/t/maintain-ocean-protocol-core-component-documentation-round-7/703/4,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmSpmyLQAHqdhHzJkxUCaMGas5d1MipKp5EiypmEXfw3ce,1630643,0
Datapeek,New Entrants,32000,https://port.oceanprotocol.com/t/proposal-datapeek-fact-check-online-arguments-with-data/715/2,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmNR8aNXrP5NV6GBCtV7eNCiKW5c3rMmrFX8dHKSyo7zL2,342884,0
RugPullIndex,General,22400,https://port.oceanprotocol.com/t/rugpullindex-com-proposal-r7/719,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmaY7dEFGU2KRMCp2PFCJfCMx6YsNRmjZ27ruS8MDL7MCv,2216437,0
Onshore Ocean,New Entrants,32000,https://port.oceanprotocol.com/t/proposal-onboarding-the-new-generation-of-data-scientists/732,https://vote.oceanprotocol.com/#/officialoceandao.eth/proposal/QmVdUt2A9yLGnU9uxxGgkukSH9x2GVwFgiKiu2NKa84T9J,399309,55691
